Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
BQ Aquaris X5 Plus,BQ,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE",2016,145,145,70,7.7,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",307.63,IPS,5,1080,1920,android 6,microsdxc,33554432,3145728,Li-Po,3200,1,4K
BQ Aquaris E5s,BQ,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"3, 7, 20",,,,"HSPA, LTE",2015,139,143.2,72.2,8.7,"Accelerometer, gyro, proximity, compass",214.09,IPS,5,720,1280,android 5,microsd,16777216,2097152,Li-Po,2850,1,1080
BQ Aquaris X5,BQ,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE",2015,148,144.4,70.5,7.5,"Accelerometer, gyro, proximity, compass",235.96,IPS,5,720,1280,android 5,microsdhc,33554432,3145728,Li-Po,2900,1,1080
BQ Aquaris M5,BQ,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE",2015,144,143,69.4,8.4,"Accelerometer, gyro, proximity, compass",265.78,IPS,5,1080,1920,android 5,microsdxc,33554432,3145728,Li-Po,3120,1,1080
BQ Aquaris M5.5,BQ,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE",2015,162,151.8,75.5,8.4,"Accelerometer, gyro, proximity, compass",305.37,IPS,5.5,1080,1920,android 5,microsdxc,33554432,3145728,Li-Po,3620,1,1080
BQ Aquaris M4.5,BQ,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE",2015,115,131.8,63.5,8.8,"Accelerometer, gyro, proximity, compass",180.19,IPS,4.5,540,960,android 5,microsdxc,16777216,2097152,Li-Po,2470,1,720
BQ  Aquaris M10,BQ,No cellular connectivity, N/A,,,,No,No,,2015,470,246,171,8.2,"Accelerometer, compass",237.08,IPS,10.1,800,1280,android 5,microsdxc,16777216,2097152,Li-Po,7280,1,1080
Casio G'zOne CA-201L,Casio,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,13,,,,"EV-DO Rev.A 3.1 Mbps, HSPA, LTE",2013,173,129.9,68.1,13.7,"Accelerometer, proximity, compass, thermometer, barometer",272.19,IPS,4,480,800,android 4,microsdhc,16777216,1048576,Li-Ion,1800,1,Yes
Casio G'zOne Commando,Casio,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,154,129,65.5,15.2,"Accelerometer, proximity, compass, thermometer",301.13,TFT,3.6,480,800,android 2,microsdhc,1048576,524288,Li-Ion,1460,1,Yes
Casio G'zOne Ravine 2,Casio,GSM / CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2011,138,109.9,50.5,21.1,"Compass, thermometer",215.08,TFT,2.2,240,320,,microsdhc,524288,262144,Li-Ion,1150,1,Yes
Casio G'zOne Ravine,Casio,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2010,131,109.2,53.3,20.3,"Accelerometer, compass, thermometer",,TFT,2.2,240,320,,microsd,524288,196608,Li-Ion,1140,1,Yes
Casio G'zOne Brigade,Casio,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2010,170,112.8,56.2,24.6,"Accelerometer, compass, thermometer",,TFT,2.9,400,240,,microsdhc,262144,196608,Li-Ion,1440,1,Yes
Cat S75,Cat,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 20, 28, 32, 38, 39, 40, 41","1, 2, 3, 5, 7, 8, 20, 23, 28, 38, 40, 41, 75, 77, 78, 255, 256 SA/NSA/Sub6/mmWave",,,"HSPA, LTE, 5G",2023,268,171,80,11.9,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",600.62,IPS,6.6,1080,2408,android 12,microsdxc,134217728,6291456,Li-Po,5000,1,1080
Cat S53,Cat,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","1, 2, 3, 5, 7, 8, 28, 41, 66, 77, 78",,,"HSPA, LTE",2022,320,171,81,16,"Fingerprint (rear-mounted), accelerometer",536.89,IPS,6.5,720,1600,android 11,microsdxc,134217728,6291456,Li-Po,5500,1,1080
Cat S22 Flip,Cat,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2021,224,119.4,61,23,"Accelerometer, proximity, barometer",201.86,TFT,2.8,480,640,android 11,microsdxc,16777216,2097152,Li-Ion,2000,1,Yes
Cat S62,Cat,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71",,,,"HSPA 42.2/5.76 Mbps, LTE-A Cat12 600/150 Mbps",2021,260,157.5,76.2,12.7,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",441.94,IPS,5.7,1080,2160,android 10,microsdxc,134217728,4194304,Li-Ion,4000,1,4K
Cat S42 H+,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 12, 13, 14, 17, 25, 26, 41, 66, 71",,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2021,220,161.3,77.2,12.7,"Accelerometer, proximity, compass",199.35,IPS,5.5,720,1440,android 10,microsdxc,33554432,3145728,Li-Ion,4200,1,1080
Cat B40,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2021,157,145,62,18,Accelerometer,80,TFT,2.4,240,320,,microsd,,,Li-Ion,1800,1,Yes
Cat S62 Pro,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40",,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps",2020,248,158.5,76.7,11.9,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",448.99,IPS,5.7,1080,2160,android 10,microsdxc,134217728,6291456,Li-Ion,4000,1,1080
Cat S42,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - EU,"1, 2, 3, 4, 5, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2020,220,161.4,77.3,12.7,"Accelerometer, proximity, compass",307.83,IPS,5.5,720,1440,android 10,microsdxc,33554432,3145728,Li-Ion,4200,1,1080
Cat S52,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38",,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/100 Mbps",2019,210,158.1,76.6,9.7,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",442.96,IPS,5.65,720,1440,android 9,microsd,67108864,4194304,Li-Ion,3100,1,1080
Cat B35,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,130,138,60,14,Accelerometer,111.33,TFT,2.4,240,320,kaios,microsdxc,4194304,524288,Li-Ion,2300,1,480
Cat S41,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - EU,"1, 2, 3, 5, 7, 8, 20 - EU",,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2017,218,152,75,12.9,"Accelerometer, proximity, compass",458.1,TFT,5,1080,1920,android 7,microsdxc,33554432,3145728,Li-Ion,5000,1,1080
Cat S31,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - EU,"1, 2, 3, 5, 7, 8, 20 - EU",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2017,200,146,74.4,12.6,"Accelerometer, proximity, compass",330.03,TFT,4.7,720,1280,android 7,microsdxc,16777216,2097152,Li-Ion,4000,1,720
Cat S61,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700 / 1900 / 2100 - EU/ROW,"1, 2, 3, 5, 7, 8, 19, 20, 26, 28, 38, 39, 40, 41 - EU/ROW",,,,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps",2018,250,163,78,13,"Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor",907.73,IPS,5.2,1080,1920,android 8,microsdxc,67108864,4194304,Li-Ion,4500,1,4K
Cat S60,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100 - Global,"1, 3, 7, 8, 20 - Global",,,,"HSPA, LTE Cat4 150/50 Mbps",2016,223,147.9,73.4,12.7,"Accelerometer, proximity, compass",651.3,Unknown,4.7,720,1280,android 6,microsdxc,33554432,3145728,Li-Ion,3800,1,1080
Cat S30,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 - Global,"1, 3, 7, 8, 20 - Global",,,,"HSPA, LTE Cat4 150/50 Mbps",2015,181,141.9,72.7,13.3,"Accelerometer, proximity, compass",341.17,TFT,4.5,480,854,android 5,microsdxc,8388608,1048576,Li-Ion,3000,1,1080
Cat S40,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 - Global,"1, 3, 7, 8, 20 - Global",,,,"HSPA, LTE Cat4 150/50 Mbps",2015,185,144.9,74.1,12.5,"Accelerometer, proximity, compass",442.26,IPS,4.7,540,960,android 5,microsdxc,16777216,1048576,Li-Ion,3000,1,1080
Cat B30,Cat,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2015,101,118,54,16,,141.57,TFT,2,144,176,,microsdhc,,,Li-Ion,1000,1,Yes
Cat B15 Q,Cat,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSDPA 850 / 900 / 2100 - EU, EMEA",,,,,HSPA 21.1/5.76 Mbps,2014,170,125,69.5,15,"Accelerometer, proximity",325.95,TFT,4,480,800,android 4,microsdhc,4194304,1048576,Li-Ion,2000,1,1080
Cat S50,Cat,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20",,,,"HSPA, LTE Cat4 150/50 Mbps",2014,185,144.5,77,12.7,"Accelerometer, proximity, compass",460.23,IPS,4.7,720,1280,android 4,microsdxc,8388608,2097152,Li-Ion,2630,1,1080
Cat B15,Cat,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA 7.2/3.6 Mbps,2013,170,125,69.5,15,"Accelerometer, proximity",250.13,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,1080
Cat B100,Cat,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700 / 1900 / 2100 ,,,,,HSPA,2013,136,123,56,17.5,,147.11,TFT,2.2,240,320,,microsdhc,131072,65536,Li-Ion,1150,1,320
Cat B25,Cat,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,Yes,,2013,161,125,57,22,,142.14,TFT,2,240,320,,microsdhc,,,Li-Ion,1300,1,Yes
Celkon A403,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2015,113,125,65,10.2,Accelerometer,,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1400,1,Yes
Celkon Campus Prime,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2015,119,132,67,9.3,Accelerometer,,TFT,4.5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,1600,1,Yes
Celkon Millennia Everest,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2015,,157,78,9.1,"Accelerometer, proximity",,TFT,5.5,480,854,android 5,microsdhc,8388608,1048576,Li-Ion,2500,1,Yes
Celkon Millennia Hero,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2015,113,125,64,11,Accelerometer,,TFT,4,480,800,android 5,microsdhc,8388608,1048576,Li-Ion,1700,1,Yes
Celkon Millennia Xplore,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 21.1/5.76 Mbps,2015,150,145.7,73.8,7.9,"Accelerometer, proximity",,IPS,5,720,1280,android 5,microsdhc,8388608,1048576,Li-Ion,2000,1,Yes
Celkon Q455L,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 21.1/5.76 Mbps,2015,130,136.5,68,7.9,"Accelerometer, proximity",,IPS,4.5,480,854,android 5,microsdhc,8388608,1048576,Li-Ion,1800,1,Yes
Celkon 2GB Xpress,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 21.1/5.76 Mbps,2015,134,133.5,66.5,10.1,Accelerometer,,IPS,4.5,480,800,android 4,microsdhc,16777216,2097152,Li-Ion,1500,1,Yes
Celkon A35k Remote,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2015,102,119,63,10.7,"Accelerometer, proximity",,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1400,1,Yes
Celkon Q3K Power,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2015,128,125.8,65,9.8,Accelerometer,,TFT,4,480,800,android 4,microsdhc,8388608,524288,Li-Ion,3000,1,Yes
Celkon Q5K Power,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2015,169,145,72,10,"Accelerometer, proximity",,TFT,5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,5000,1,Yes
Celkon Q452,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2015,129,133.5,66.5,9.5,Accelerometer,,TFT,4.5,480,800,android 4,microsdhc,8388608,524288,Li-Ion,1500,1,Yes
Celkon A402,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2015,104,125.5,64,10.2,Accelerometer,,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon Q54+,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,150,145,73,8.8,Accelerometer,,IPS,5,480,854,android 4,microsdhc,8388608,1048576,Li-Ion,2000,1,Yes
Celkon Q519,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,169,145.2,73.2,9.4,Accelerometer,,TFT,5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon Q450,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,147,135,67.7,9.7,"Accelerometer, proximity",,IPS,4.5,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1800,1,Yes
Celkon Q405,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,137,124,64.2,9.9,"Accelerometer, proximity",,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1500,1,Yes
Celkon A518,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,164,145,73,9.8,Accelerometer,,TFT,5,480,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon A407,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,105,124.8,65.2,9.2,Accelerometer,,TFT,4,480,800,android 4,microsdhc,524288,262144,Li-Ion,1400,1,Yes
Celkon A359,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,95,114.5,62.3,10.4,Accelerometer,,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1200,1,Yes
Celkon A355,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2015,97,115.3,63.3,10.2,Accelerometer,,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1200,1,Yes
Celkon Campus Buddy A404,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2014,131,126.5,64.2,9.8,Accelerometer,,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1500,1,720
Celkon Millennia OCTA510,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 21.1/5.76 Mbps,2015,136,143.5,71,9.1,"Accelerometer, proximity",,IPS,5,720,1280,android 4,microsdhc,8388608,1048576,Li-Ion,2000,1,720
Celkon Win 400,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA 21.1/5.76 Mbps,2014,120,125.4,65,10.3,"Accelerometer, proximity",,TFT,4,480,800,Microsoft Windows Phone 8.1,microsdhc,4194304,524288,Li-Ion,1500,1,720
Celkon Campus Whizz Q42,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,122,122,63,9.5,"Accelerometer, proximity",82.91,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1400,1,Yes
Celkon Millennia Epic Q550,Celkon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,143,152,76,7.9,"Accelerometer, proximity",,IPS,5.5,720,1280,android 4,microsdxc,16777216,1048576,Li-Ion,3500,1,720
Celkon Xion s CT695,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2014,250,180,104.4,8.6,"Accelerometer, proximity",,TFT,6.95,600,1024,android 4,microsdhc,8388608,1048576,Li-Ion,2500,1,Yes
Celkon Campus Colt A401,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2014,,124.9,64,10.4,"Accelerometer, proximity",,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1400,1,Yes
Celkon Campus Crown Q40,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2014,109,125.5,64.7,9.6,"Accelerometer, proximity",,IPS,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1500,1,Yes
Celkon Glory Q5,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,"Yes, 384 kbps",2014,156,144.7,72.1,7.4,"Accelerometer, proximity",,IPS,5,540,960,android 4,microsdhc,8388608,1048576,Li-Ion,1800,1,Yes
Celkon Campus One A354C,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,,,,,Accelerometer,,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1200,1,Yes
Celkon Campus Nova A352E,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,,2014,,,,,Accelerometer,,TFT,3.5,320,480,android 4,microsdhc,524288,262144,Li-Ion,1400,1,Yes
Celkon A43,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,,124,63,8.5,"Accelerometer, proximity",81.57,IPS,4,480,800,android 4,microsdhc,4194304,1048576,Li-Ion,1400,1,Yes
Celkon A42,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,,124.5,63.5,10.2,"Accelerometer, proximity",80.47,IPS,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1400,1,Yes
Celkon Q500 Millennium Ultra,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,149,145.6,71.8,8,"Accelerometer, proximity",126.68,IPS,5,720,1280,android 4,microsdhc,16777216,2097152,Li-Ion,2500,1,Yes
Celkon Q44,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,133,129,64.2,9.5,"Accelerometer, proximity",,IPS,4,480,800,android 4,microsdxc,8388608,1048576,Li-Ion,1500,1,Yes
Celkon A500,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,147,141.4,72.6,10.2,"Accelerometer, proximity",94.73,TFT,5,480,854,android 4,microsdhc,8388608,1048576,Li-Ion,2000,1,Yes
Celkon A21,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,115,124.8,66.1,10.8,Accelerometer,66.71,TFT,4,320,480,android 4,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Celkon A115,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,164,148,74,9.3,"Accelerometer, proximity",,IPS,5,480,854,android 4,microsdxc,4194304,524288,Li-Ion,2000,1,Yes
Celkon Q455,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,130,136.5,68,7.9,"Accelerometer, proximity",104.29,IPS,4.5,540,960,android 4,microsdxc,16777216,1048576,Li-Ion,2000,1,Yes
Celkon Q470,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,137,138.4,68.8,8.3,"Accelerometer, proximity",,IPS,4.7,720,1280,android 4,microsdhc,16777216,1048576,Li-Ion,1800,1,Yes
Celkon Q3000,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,167,145.6,72.7,10,"Accelerometer, proximity",,TFT,5,480,854,android 4,microsdhc,4194304,1048576,Li-Ion,3000,1,Yes
Celkon A35k,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,102,119,63,10.7,"Accelerometer, proximity",47,TFT,3.5,320,480,android 4,microsdhc,2097152,262144,Li-Ion,1400,1,Yes
Celkon A125,Celkon,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,,,,HSPA,2014,78,138,68.5,10,"Accelerometer, proximity",84.62,TFT,4.5,960,854,android 4,microsdhc,4194304,524288,Li-Ion,2000,1,Yes
Celkon C7010,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,90,102,57,13.6,,,TFT,2.8,320,480,,microsdhc,,,Li-Ion,1200,1,Yes
Celkon C5055,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,90,102,57,13.6,,,TFT,2.8,240,320,,microsdhc,,,Li-Ion,1000,1,Yes
Celkon C9 Jumbo,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,2000,1,Yes
Celkon C7 Jumbo,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,,2014,,,,,,,TFT,,240,320,,microsdhc,,,Li-Ion,2000,1,Yes
Celkon C6 Star,Celkon,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,,2014,,,,,,,TFT,2.4,240,320,,microsdhc,,,Li-Ion,1100,1,Yes
