DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
IPS,4.3,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,2000.0,1,Yes
IPS,4.5,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,1760.0,1,720
TFT,7.0,600.0,1024.0,android ,microsdhc,8388608.0,1048576.0,Li-Ion,2640.0,1,Yes
TFT,7.0,600.0,1024.0,android 4,microsdhc,16777216.0,524288.0,Li-Po,2710.0,1,Yes
TFT,7.0,600.0,1024.0,android 4,microsdhc,8388608.0,1048576.0,Li-Po,3420.0,1,720
TFT,3.5,320.0,480.0,android 2,microsdhc,4194304.0,524288.0,Li-Po,1300.0,1,Yes
TFT,4.3,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,1500.0,1,Yes
TFT,4.3,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0,Li-Ion,1500.0,1,Yes
TFT,3.7,480.0,800.0,android 4,microsdhc,1048576.0,524288.0,Li-Ion,1300.0,1,Yes
IPS,4.3,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0,Li-Ion,1460.0,1,1080
TFT,10.1,800.0,1280.0,android 4,microsdhc,16777216.0,1048576.0,Li-Po,3260.0,1,Yes
IPS,10.1,800.0,1280.0,android 3,microsdhc,16777216.0,1048576.0,Li-Po,3260.0,1,Yes
LCD,10.1,1920.0,1200.0,android 4,microsdhc,67108864.0,16777216.0,Li-Po,9800.0,1,720
LCD,10.1,1920.0,1200.0,android 4,microsdhc,67108864.0,16777216.0,Li-Ion,9800.0,1,720
TFT,10.1,1280.0,800.0,android 4,microsdhc,33554432.0,1048576.0,Li-Po,9800.0,1,720
TFT,10.1,1280.0,800.0,android 4,microsdhc,33554432.0,1048576.0,Li-Po,9800.0,1,720
TFT,3.6,480.0,800.0,Microsoft Windows Phone 7.5 Mango,no,8388608.0,,Li-Ion,1300.0,1,Yes
TFT,3.5,320.0,480.0,android 2,microsdhc,524288.0,524288.0,Li-Ion,,1,Yes
Color,10.1,800.0,1280.0,android 3,microsdhc,67108864.0,16777216.0,Li-Po,3260.0,1,Yes
Color,10.1,800.0,1280.0,android 3,microsdhc,33554432.0,1048576.0,Li-Po,3260.0,1,Yes
TFT,4.8,480.0,1024.0,android 2,microsdhc,8388608.0,524288.0,Li-Po,1500.0,1,720
LCD,7.0,600.0,1024.0,android 3,microsdhc,16777216.0,1048576.0,Li-Po,1530.0,1,720
LCD,7.0,600.0,1024.0,android 3,microsdhc,16777216.0,1048576.0,Li-Po,1530.0,1,720
TFT,3.2,320.0,480.0,android 2,microsdhc,524288.0,524288.0,Li-Ion,1300.0,1,480
TFT,2.6,320.0,240.0,android 2,microsdhc,524288.0,262144.0,Li-Ion,1300.0,1,Yes
TFT,2.8,240.0,320.0,android 2,microsdhc,524288.0,262144.0,Li-Ion,1300.0,1,Yes
